               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.060572,            0.010678,           0.0055897,             0.28004,             0.21131,             0.13398,            0.032364,            0.079977,            0.011003,           0.0086805,           0.0067101,           0.0067101,           0.0067101
                  64,            0.061681,            0.010767,           0.0048989,             0.22392,             0.19869,             0.11473,             0.03553,            0.079683,            0.011081,           0.0093498,           0.0066191,           0.0066191,           0.0066191
                  65,            0.066013,            0.010747,           0.0051994,             0.22452,             0.24871,             0.13839,            0.033472,            0.077097,            0.011133,            0.007807,           0.0065276,           0.0065276,           0.0065276
                  66,            0.063668,            0.011272,           0.0048067,             0.24977,             0.25075,             0.14746,            0.049262,            0.075331,            0.011209,           0.0076221,           0.0064356,           0.0064356,           0.0064356
                  67,            0.061782,            0.010907,           0.0047407,             0.36347,             0.22394,             0.15823,            0.047815,            0.079186,            0.011317,           0.0086559,           0.0063432,           0.0063432,           0.0063432
                  68,            0.059075,            0.010872,           0.0042331,              0.3401,              0.2417,             0.16514,            0.053966,            0.077307,            0.011188,           0.0081068,           0.0062505,           0.0062505,           0.0062505
                  69,            0.059023,             0.01104,           0.0044902,             0.28384,             0.27606,             0.17371,            0.050108,            0.074812,            0.010831,           0.0073659,           0.0061574,           0.0061574,           0.0061574
                  70,            0.056227,            0.010777,           0.0042957,             0.34084,             0.21108,             0.15655,            0.047463,            0.073711,            0.011044,           0.0078726,            0.006064,            0.006064,            0.006064
                  71,             0.06172,            0.010533,           0.0041865,             0.29182,              0.2382,             0.17886,            0.049948,            0.070698,            0.010661,           0.0082249,           0.0059704,           0.0059704,           0.0059704
                  72,            0.058323,            0.010553,           0.0036513,             0.26462,             0.26344,             0.17449,            0.052732,            0.074939,            0.010615,           0.0080935,           0.0058766,           0.0058766,           0.0058766
                  73,            0.059144,            0.010791,           0.0040202,             0.32333,             0.23446,              0.1799,            0.051506,            0.072132,            0.010857,           0.0070656,           0.0057826,           0.0057826,           0.0057826
